,potential,step
485,0.03125,485
486,0.15625,486
487,0.03125,487
488,0.03125,488
489,0.03125,489
490,0.03125,490
491,0.03125,491
492,0.03125,492
493,0.03125,493
494,0.03125,494
495,0.03125,495
496,0.03125,496
497,0.03125,497
498,0.03125,498
499,0.03125,499
500,0.03125,500
501,0.03125,501
502,0.03125,502
503,0.03125,503
504,0.46875,504
505,0.46875,505
506,0.34375,506
507,0.28125,507
508,0.28125,508
509,0.15625,509
510,0.15625,510
511,0.15625,511
512,0.15625,512
513,0.03125,513
514,0.03125,514
515,0.15625,515
516,0.15625,516
517,0.15625,517
518,0.15625,518
519,0.15625,519
520,0.15625,520
521,0.15625,521
522,0.15625,522
523,0.03125,523
524,0.03125,524
525,0.03125,525
526,0.03125,526
527,0.03125,527
528,0.03125,528
529,0.03125,529
530,0.03125,530
531,0.03125,531
532,0.03125,532
533,0.03125,533
534,0.03125,534
535,0.03125,535
536,0.03125,536
537,0.03125,537
538,0.03125,538
539,0.03125,539
540,0.03125,540
541,0.03125,541
542,0.03125,542
543,0.03125,543
544,0.03125,544
545,0.03125,545
546,0.03125,546
547,0.03125,547
548,0.03125,548
549,0.03125,549
550,0.03125,550
551,0.03125,551
552,0.03125,552
553,0.03125,553
554,0.03125,554
555,0.03125,555
556,0.03125,556
557,0.03125,557
558,0.03125,558
559,0.03125,559
560,0.03125,560
561,0.03125,561
562,0.03125,562
563,0.03125,563
564,0.03125,564
565,0.03125,565
566,0.03125,566
567,0.03125,567
568,0.03125,568
569,0.03125,569
570,0.03125,570
571,0.03125,571
572,0.03125,572
573,0.03125,573
574,0.03125,574
575,0.03125,575
576,0.03125,576
577,0.03125,577
578,0.03125,578
579,0.03125,579
580,0.03125,580
581,0.03125,581
582,0.03125,582
583,0.03125,583
584,0.03125,584
585,0.03125,585
586,0.03125,586
587,0.03125,587
588,0.03125,588
589,0.03125,589
590,0.03125,590
591,0.03125,591
592,0.03125,592
593,0.03125,593
594,0.03125,594
595,0.03125,595
596,0.03125,596
597,0.03125,597
598,0.46875,598
599,0.03125,599
600,0.03125,600
601,0.03125,601
602,0.03125,602
603,0.09375,603
604,0.09375,604
605,0.09375,605
606,0.09375,606
607,0.03125,607
608,0.28125,608
609,0.03125,609
610,0.03125,610
611,0.21875,611
612,0.21875,612
613,0.21875,613
614,0.03125,614
615,0.03125,615
616,0.03125,616
617,0.03125,617
618,0.03125,618
619,0.03125,619
620,0.03125,620
621,0.03125,621
622,0.03125,622
623,0.21875,623
624,0.03125,624
625,0.03125,625
626,0.03125,626
627,0.03125,627
628,0.03125,628
629,0.03125,629
630,0.03125,630
631,0.03125,631
632,0.03125,632
633,0.03125,633
634,0.03125,634
635,0.03125,635
636,0.03125,636
637,0.03125,637
638,0.03125,638
639,0.03125,639
640,0.03125,640
641,0.03125,641
642,0.03125,642
643,0.03125,643
644,0.03125,644
645,0.03125,645
646,0.03125,646
647,0.03125,647
648,0.03125,648
649,0.03125,649
650,0.03125,650
651,0.03125,651
652,0.03125,652
653,0.03125,653
654,0.03125,654
655,0.03125,655
656,0.03125,656
657,0.03125,657
658,0.03125,658
659,0.03125,659
660,0.03125,660
661,0.03125,661
662,0.03125,662
663,0.03125,663
664,0.03125,664
665,0.03125,665
666,0.03125,666
667,0.03125,667
668,0.03125,668
669,0.03125,669
670,0.03125,670
671,0.03125,671
672,0.03125,672
673,0.09375,673
674,0.09375,674
675,0.09375,675
676,0.09375,676
677,0.09375,677
678,0.09375,678
679,0.09375,679
680,0.09375,680
681,0.09375,681
682,0.09375,682
683,0.09375,683
684,0.09375,684
685,0.09375,685
686,0.09375,686
687,0.09375,687
688,0.09375,688
689,0.09375,689
690,0.03125,690
691,0.03125,691
692,0.03125,692
693,0.03125,693
694,0.03125,694
695,0.03125,695
696,0.03125,696
697,0.03125,697
698,0.03125,698
699,0.03125,699
700,0.03125,700
701,0.03125,701
702,0.03125,702
703,0.03125,703
704,0.03125,704
705,0.03125,705
706,0.03125,706
707,0.03125,707
708,0.03125,708
709,0.03125,709
710,0.03125,710
711,0.03125,711
712,0.03125,712
713,0.03125,713
714,0.03125,714
715,0.03125,715
716,0.03125,716
717,0.03125,717
718,0.03125,718
719,0.03125,719
720,0.03125,720
721,0.03125,721
722,0.03125,722
723,0.03125,723
724,0.03125,724
725,0.03125,725
726,0.03125,726
727,0.03125,727
728,0.03125,728
729,0.03125,729
730,0.03125,730
731,0.03125,731
732,0.03125,732
733,0.03125,733
734,0.03125,734
735,0.03125,735
736,0.03125,736
737,0.03125,737
738,0.03125,738
739,0.03125,739
740,0.03125,740
741,0.03125,741
742,0.03125,742
743,0.03125,743
744,0.03125,744
745,0.03125,745
746,0.03125,746
747,0.03125,747
748,0.03125,748
749,0.03125,749
750,0.03125,750
751,0.03125,751
752,0.03125,752
753,0.03125,753
754,0.03125,754
755,0.03125,755
756,0.03125,756
757,0.03125,757
758,0.03125,758
759,0.03125,759
760,0.03125,760
761,0.03125,761
762,0.03125,762
763,0.03125,763
764,0.03125,764
765,0.03125,765
766,0.03125,766
767,0.03125,767
768,0.03125,768
769,0.03125,769
770,0.03125,770
771,0.03125,771
772,0.03125,772
773,0.03125,773
774,0.03125,774
775,0.03125,775
776,0.03125,776
777,0.03125,777
778,0.03125,778
779,0.03125,779
780,0.03125,780
781,0.03125,781
782,0.03125,782
783,0.03125,783
784,0.03125,784
785,0.03125,785
786,0.03125,786
787,0.03125,787
788,0.03125,788
789,0.03125,789
790,0.03125,790
791,0.03125,791
792,0.03125,792
793,0.03125,793
794,0.03125,794
795,0.03125,795
796,0.03125,796
797,0.03125,797
798,0.03125,798
799,0.03125,799
800,0.03125,800
801,0.03125,801
802,0.03125,802
803,0.03125,803
804,0.03125,804
805,0.03125,805
806,0.03125,806
807,0.03125,807
808,0.03125,808
809,0.03125,809
810,0.03125,810
811,0.03125,811
812,0.03125,812
813,0.03125,813
814,0.03125,814
815,0.03125,815
816,0.03125,816
817,0.03125,817
818,0.03125,818
819,0.03125,819
820,0.03125,820
821,0.03125,821
822,0.03125,822
823,0.03125,823
824,0.03125,824
825,0.03125,825
826,0.03125,826
827,0.03125,827
828,0.03125,828
829,0.03125,829
830,0.03125,830
831,0.03125,831
832,0.03125,832
833,0.03125,833
834,0.03125,834
835,0.03125,835
836,0.03125,836
837,0.03125,837
838,0.03125,838
839,0.03125,839
840,0.03125,840
841,0.03125,841
842,0.03125,842
843,0.03125,843
844,0.03125,844
845,0.03125,845
846,0.03125,846
847,0.03125,847
848,0.03125,848
849,0.03125,849
850,0.03125,850
851,0.03125,851
852,0.03125,852
853,0.03125,853
854,0.03125,854
855,0.03125,855
856,0.03125,856
857,0.03125,857
858,0.03125,858
859,0.03125,859
860,0.03125,860
861,0.03125,861
862,0.03125,862
863,0.03125,863
864,0.03125,864
865,0.03125,865
866,0.03125,866
867,0.03125,867
868,0.03125,868
869,0.03125,869
870,0.03125,870
871,0.03125,871
872,0.03125,872
873,0.03125,873
874,0.03125,874
875,0.03125,875
876,0.03125,876
877,0.03125,877
878,0.03125,878
879,0.03125,879
880,0.03125,880
881,0.03125,881
882,0.03125,882
883,0.03125,883
884,0.03125,884
885,0.03125,885
886,0.03125,886
887,0.03125,887
888,0.03125,888
889,0.03125,889
890,0.03125,890
891,0.03125,891
892,0.03125,892
893,0.03125,893
894,0.03125,894
895,0.03125,895
896,0.03125,896
897,0.03125,897
898,0.03125,898
899,0.03125,899
900,0.03125,900
901,0.03125,901
902,0.03125,902
903,0.03125,903
904,0.03125,904
905,0.03125,905
906,0.03125,906
907,0.03125,907
908,0.03125,908
909,0.03125,909
910,0.03125,910
911,0.03125,911
912,0.03125,912
913,0.03125,913
914,0.03125,914
915,0.03125,915
916,0.03125,916
917,0.03125,917
918,0.03125,918
919,0.03125,919
920,0.03125,920
921,0.03125,921
