,Unnamed: 0,potential,iteration,switch_ratio,max_steps,switch_step,annealing_scheme,net_size,num_copies,pdb_mutation,pt_copies,pt_scheme,init_temperatures
104,104,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
105,105,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
106,106,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
107,107,0.0,32,0.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
108,108,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
109,109,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
110,110,0.0,3460,0.688,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
111,111,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
112,112,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
113,113,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
114,114,0.0,4829,0.96,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
115,115,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
116,116,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
117,117,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
118,118,0.0,129,0.024,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
119,119,0.0,1823,0.36,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
120,120,0.0,3832,0.76,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
121,121,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
122,122,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
123,123,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
124,124,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
125,125,0.0,2821,0.56,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
126,126,0.46875,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
127,127,0.0,2894,0.576,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
128,128,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
129,129,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
130,130,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
131,131,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
132,132,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
133,133,0.375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
134,134,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
135,135,0.0,4012,0.8,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
136,136,0.0,4224,0.84,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
137,137,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
138,138,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
139,139,0.0,2068,0.408,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
140,140,0.375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
141,141,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
142,142,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
143,143,0.0,2918,0.576,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
144,144,0.4375,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
145,145,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
146,146,0.0,886,0.176,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
147,147,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
148,148,0.5,5000,1.0,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
149,149,0.0,2453,0.488,5000,40,['const'],15,5,0.06,5,"['gaussian', 1]","[0.01, 37.5075, 75.00500000000001, 112.50250000000001, 150.0]"
